id,num_choices,prediction,scores
test_01750,4,2,"[-4.1875, -1.796875, -0.546875, -1.421875]"
test_00128,5,1,"[-1.6640625, -1.1640625, -1.2890625, -1.7890625, -2.90625]"
test_02891,5,1,"[-1.2421875, -1.1171875, -1.6171875, -2.25, -2.5]"
test_02425,5,3,"[-1.453125, -1.453125, -1.953125, -1.328125, -2.078125]"
test_00930,5,0,"[-1.4140625, -1.5390625, -1.7890625, -1.4140625, -2.03125]"
test_03725,5,3,"[-1.59375, -1.59375, -1.96875, -1.21875, -1.84375]"
test_00009,5,1,"[-1.59375, -0.84375, -1.71875, -2.09375, -2.71875]"
test_02880,2,1,"[-1.6015625, -0.228515625]"
test_01208,2,1,"[-1.6015625, -0.228515625]"
test_00619,2,1,"[-0.828125, -0.578125]"
test_00948,2,1,"[-1.5078125, -0.255859375]"
test_01462,2,0,"[-0.63671875, -0.76171875]"
test_01554,2,1,"[-1.5078125, -0.255859375]"
test_02339,2,0,"[-0.6328125, -0.7578125]"
test_01907,2,1,"[-1.5078125, -0.255859375]"
test_02728,2,1,"[-1.6015625, -0.228515625]"
test_00347,5,1,"[-1.6875, -1.1875, -1.5625, -1.5625, -2.4375]"
test_01998,5,1,"[-1.7265625, -1.3515625, -1.4765625, -1.4765625, -2.234375]"
test_02971,5,1,"[-1.6328125, -1.2578125, -2.0, -1.3828125, -2.0]"
test_03429,5,0,"[-1.421875, -1.671875, -2.171875, -1.421875, -1.546875]"
test_02414,5,4,"[-1.4140625, -1.9140625, -2.53125, -1.5390625, -1.1640625]"
test_04028,5,3,"[-1.609375, -1.484375, -1.984375, -1.359375, -1.734375]"
test_02243,5,3,"[-1.625, -1.625, -1.625, -1.375, -1.875]"
test_03513,5,0,"[-1.125, -1.25, -1.75, -2.0, -2.5]"
test_01954,5,3,"[-1.5234375, -1.5234375, -1.8984375, -1.3984375, -1.7734375]"
test_04105,5,3,"[-1.671875, -1.671875, -1.921875, -1.171875, -1.796875]"
test_03070,5,3,"[-1.4375, -1.6875, -1.9375, -1.3125, -1.8125]"
test_01239,5,3,"[-1.8125, -1.6875, -1.9375, -1.0625, -1.8125]"
test_04152,5,0,"[-1.2890625, -1.2890625, -1.7890625, -1.6640625, -2.40625]"
test_02326,5,0,"[-1.0078125, -1.3828125, -1.8828125, -1.7578125, -2.875]"
