id,num_choices,prediction,scores
test_01750,4,2,"[-6.40625, -2.421875, -0.671875, -0.921875]"
test_00128,5,2,"[-1.5859375, -1.3359375, -1.0859375, -1.9609375, -2.953125]"
test_02891,5,1,"[-1.15625, -1.03125, -1.90625, -2.40625, -2.40625]"
test_02425,5,0,"[-1.328125, -1.453125, -2.203125, -1.328125, -2.078125]"
test_00930,5,0,"[-1.375, -1.5, -1.875, -1.375, -2.125]"
test_03725,5,3,"[-1.4609375, -1.5859375, -2.21875, -1.2109375, -1.8359375]"
test_00009,5,1,"[-1.40625, -0.91015625, -1.90625, -2.15625, -2.40625]"
test_02880,2,1,"[-1.703125, -0.2021484375]"
test_01208,2,1,"[-1.703125, -0.2021484375]"
test_00619,2,1,"[-0.82421875, -0.57421875]"
test_00948,2,1,"[-1.5, -0.251953125]"
test_01462,2,0,"[-0.57421875, -0.82421875]"
test_01554,2,1,"[-1.703125, -0.2021484375]"
test_02339,2,0,"[-0.69140625, -0.69140625]"
test_01907,2,1,"[-1.703125, -0.2021484375]"
test_02728,2,1,"[-1.703125, -0.2021484375]"
test_00347,5,1,"[-1.6796875, -1.3046875, -1.6796875, -1.4296875, -2.171875]"
test_01998,5,1,"[-1.6875, -1.3125, -1.6875, -1.4375, -2.0625]"
test_02971,5,1,"[-1.5, -1.375, -2.125, -1.375, -1.875]"
test_03429,5,0,"[-1.2890625, -1.7890625, -2.65625, -1.4140625, -1.4140625]"
test_02414,5,0,"[-0.96484375, -1.96875, -2.84375, -1.84375, -1.34375]"
test_04028,5,1,"[-1.515625, -1.390625, -2.390625, -1.390625, -1.640625]"
test_02243,5,3,"[-1.5703125, -1.5703125, -1.5703125, -1.4453125, -1.9453125]"
test_03513,5,0,"[-0.75, -1.5, -2.375, -2.125, -2.375]"
test_01954,5,0,"[-1.421875, -1.421875, -2.421875, -1.421875, -1.671875]"
test_04105,5,3,"[-1.609375, -1.734375, -2.359375, -1.109375, -1.609375]"
test_03070,5,0,"[-1.2421875, -1.6171875, -2.109375, -1.3671875, -1.9921875]"
test_01239,5,3,"[-1.5859375, -1.7109375, -2.34375, -1.0859375, -1.7109375]"
test_04152,5,0,"[-1.265625, -1.265625, -1.890625, -1.765625, -2.140625]"
test_02326,5,0,"[-0.83984375, -1.3359375, -2.09375, -2.09375, -2.84375]"
test_02929,5,3,"[-1.515625, -1.890625, -2.765625, -1.140625, -1.390625]"
test_02616,5,3,"[-1.4765625, -1.7265625, -2.84375, -1.1015625, -1.6015625]"
test_00841,5,4,"[-2.09375, -3.09375, -2.59375, -2.09375, -0.4609375]"
test_04060,5,3,"[-1.546875, -2.046875, -3.046875, -0.921875, -1.546875]"
test_03240,5,0,"[-1.234375, -1.609375, -2.734375, -1.234375, -1.859375]"
test_03901,3,2,"[-6.53125, -4.28125, -0.015625]"
test_00141,2,1,"[-6.75, -0.0011749267578125]"
test_00381,2,1,"[-6.25, -0.00193023681640625]"
test_00629,2,0,"[-0.00150299072265625, -6.5]"
test_02774,2,0,"[-0.0052490234375, -5.25]"
test_03277,2,0,"[-0.003173828125, -5.75]"
test_03412,5,3,"[-1.4765625, -1.7265625, -2.609375, -1.2265625, -1.4765625]"
test_00429,3,2,"[-8.5, -5.5, -0.0042724609375]"
test_00469,5,0,"[-1.3203125, -1.8203125, -2.6875, -1.3203125, -1.4453125]"
test_01889,5,2,"[-5.40625, -4.40625, -0.4140625, -2.53125, -1.4140625]"
test_00001,3,1,"[-10.5, -2.8967857360839844e-05, -13.5]"
test_00620,3,0,"[-3.0517578125e-05, -11.375, -10.875]"
test_01270,3,1,"[-8.25, -0.0002689361572265625, -11.75]"
test_02024,3,0,"[-4.3392181396484375e-05, -10.625, -10.875]"
test_02075,3,0,"[-4.863739013671875e-05, -10.625, -10.625]"
test_03101,3,1,"[-10.75, -2.2530555725097656e-05, -13.75]"
test_03301,3,2,"[-11.75, -11.25, -2.086162567138672e-05]"
test_03936,3,1,"[-10.75, -2.288818359375e-05, -13.5]"
test_01058,5,0,"[-1.203125, -1.203125, -2.203125, -1.703125, -2.203125]"
test_02818,5,1,"[-1.5703125, -1.4453125, -1.8203125, -1.4453125, -1.8203125]"
test_03851,5,0,"[-1.3984375, -1.5234375, -1.5234375, -1.8984375, -1.7734375]"
test_00171,5,2,"[-4.3125, -2.1875, -0.314453125, -3.4375, -2.1875]"
test_00050,5,0,"[-1.15625, -1.53125, -2.40625, -1.65625, -1.65625]"
test_02771,5,3,"[-1.5078125, -1.6328125, -2.265625, -1.2578125, -1.6328125]"
test_02012,5,0,"[-1.3671875, -1.3671875, -1.6171875, -1.8671875, -1.9921875]"
test_02088,5,1,"[-1.46875, -0.96875, -1.71875, -1.84375, -2.96875]"
